semantic_id,category,label,class,shape,units,owner,exposure,intended_effect,explicit_non_effects
LC_PE_TPS_ENTER,Lifecycle,PE TPS entry,PRIMARY_TUNE,1D,RPM_to_TPS_percent,lifecycle_manager,XDF,"sets throttle-demand PE entry threshold","does not change Alpha-N filling"
LC_PE_TPS_EXIT,Lifecycle,PE TPS exit,ADVANCED,1D,RPM_to_TPS_percent,lifecycle_manager,XDF,"sets throttle-demand PE exit threshold","does not change target lambda"
LC_PE_ENTRY_DELAY,Lifecycle,PE entry delay,PRIMARY_TUNE,scalar,ms,lifecycle_manager,XDF,"sets sustained PE request delay","does not alter enrichment amount"
LC_DFCO_TPS_ENTER,Lifecycle,DFCO TPS entry,PRIMARY_TUNE,scalar,percent,lifecycle_manager,XDF,"sets closed-throttle DFCO entry threshold","does not set idle TPS threshold"
LC_DFCO_TPS_EXIT,Lifecycle,DFCO TPS exit,ADVANCED,scalar,percent,lifecycle_manager,XDF,"sets DFCO throttle hysteresis exit","does not set PE TPS threshold"
LC_DFCO_RPM_ENTER,Lifecycle,DFCO RPM entry,PRIMARY_TUNE,scalar,rpm,lifecycle_manager,XDF,"sets minimum RPM for DFCO entry","does not set stall threshold"
LC_DFCO_RPM_EXIT,Lifecycle,DFCO RPM exit,PRIMARY_TUNE,scalar,rpm,lifecycle_manager,XDF,"sets RPM for DFCO exit","does not set idle target"
LC_DFCO_PR_ENTER,Lifecycle,DFCO pressure-ratio entry,ADVANCED,scalar,ratio,lifecycle_manager,XDF,"sets low-load pressure condition for DFCO entry","does not alter air estimate"
LC_DFCO_PR_EXIT,Lifecycle,DFCO pressure-ratio exit,ADVANCED,scalar,ratio,lifecycle_manager,XDF,"sets DFCO load hysteresis exit","does not alter PE load threshold"
LC_DFCO_ENTRY_DELAY,Lifecycle,DFCO entry delay,PRIMARY_TUNE,scalar,ms,lifecycle_manager,XDF,"sets sustained coast condition before fuel cut","does not set re-entry fueling"
LC_KEYOFF_VOLTAGE,Lifecycle,Key-off voltage threshold,DEVELOPER,scalar,V,lifecycle_manager,XDF,"sets inferred key-off voltage boundary","does not act as injector battery fallback"
LC_KEYOFF_CONFIRM,Lifecycle,Key-off confirm time,DEVELOPER,scalar,ms,lifecycle_manager,XDF,"debounces inferred key-off condition","does not keep outputs powered"
LC_SHUTDOWN_DELAY,Lifecycle,Shutdown housekeeping delay,DEVELOPER,scalar,ms,lifecycle_manager,XDF,"sets internal post-keyoff execution window","does not permit production outputs"
LC_PUMP_PRIME_TIME,Lifecycle,Fuel pump prime time,ADVANCED,scalar,ms,fuel_pump_manager,XDF,"sets key-on pump prime duration","does not grant rotation validity"
