proof_id,proof_group,contract_dependency,state_or_signal,source_symbol,hardware_address,physical_pin_or_probe,forced_condition,expected_observation,pass_condition,fail_condition,required_tooling,aldl_debug_required,scope_required,bench_hook_required,implementation_gate,confidence,notes
SPARK-006,spark_bypass_est,SPARK_BYPASS_EST_TRANSITION.md; SPARK_MINIMAL_MODULE_BOUNDARY.md,EST/bypass authority transition,minimal_bypass_est_state; L004F bit7; L0044 bit3,EST/bypass hardware TBD,EST/bypass control/status pins if accessible,"capture key-on, crank, first REF/DRP, and run qualification",physical authority transition can be classified,safe authority strategy is known or output remains blocked,physical authority unclear or unsafe but writer permitted,scope/logic analyzer; ALDL/debug; REF/DRP simulator,yes,yes,yes,no physical EST/bypass authority code until SPARK-006 pass,medium_contract,May be replaced by a safer hardware strategy if documented.
IAC-001,iac_phase,IAC_IDLE_AIR_OUTPUT_CONTRACT.md; IAC_PHASE_SEQUENCE_CONTRACT.md,physical A/B mapping,L3062 bits2/3; L004C bits2/3,$3062,IAC driver A/B input pins,single-step or observe stock ring transitions,L3062 bit2/bit3 physical A/B mapping classified,each bit maps to a physical driver input or transform is documented,pin mapping unknown but writer implemented,scope/logic analyzer on IAC driver inputs; ALDL/debug,yes,yes,yes,no IAC writer until IAC-001 through IAC-009 resolved,high_static,First required IAC output proof.
IAC-002,iac_phase,IAC_PHASE_SEQUENCE_CONTRACT.md; IAC_MINIMAL_MODULE_INPUTS.md,desired greater than actual path,L0007/L0008/L000A bits0/2/3,$3062,IAC A/B pins and ALDL/debug,force desired > actual,A/B ring follows direction bit0=0 sequence,software ring and physical pin order are classifiable,ring sequence differs or direction cannot be mapped,ALDL/debug; scope/logic analyzer; controlled desired/actual state,yes,yes,yes,no IAC writer until direction/ring proven,high_static,Classifies one direction.
IAC-003,iac_phase,IAC_PHASE_SEQUENCE_CONTRACT.md; IAC_MINIMAL_MODULE_INPUTS.md,desired less than actual path,L0007/L0008/L000A bits0/2/3,$3062,IAC A/B pins and ALDL/debug,force desired < actual,A/B ring follows reverse direction bit0=1 sequence,reverse software ring and physical pin order are classifiable,reverse sequence differs or direction cannot be mapped,ALDL/debug; scope/logic analyzer; controlled desired/actual state,yes,yes,yes,no IAC writer until direction/ring proven,high_static,Classifies opposite direction.
IAC-004,iac_phase,IAC_IDLE_AIR_OUTPUT_CONTRACT.md,desired equals actual hold behavior,L0007/L0008/L000A; L004C,$3062,IAC A/B pins and ALDL/debug,force desired == actual,A/B state holds; no step pulse occurs,no physical step when desired equals actual,step occurs despite zero error,ALDL/debug; scope/logic analyzer,yes,yes,maybe,IAC hold behavior required before writer,high_static,Proves no-step hold behavior.
IAC-005,iac_enable,IAC_ENABLE_FAULT_GATE_CONTRACT.md,Enable physical behavior,L000A bit4; L004C bit4; L3062 bit4,$3062,IAC Enable/driver enable pin,observe enable bit during normal voltage and fault/low-voltage cases,bit4 physical function classified,Enable pin or driver behavior is identified,bit4 assumed Enable without physical proof,scope/logic analyzer; ALDL/debug; voltage variation,yes,yes,yes,no IAC writer until Enable physical behavior resolved,high_static,Enable may be driver enable or health gate; classify physically.
IAC-006,iac_enable,IAC_ENABLE_FAULT_GATE_CONTRACT.md,Enable not step-pulsed,L000A bit4; L004C bit4; L3062 bit4,$3062,IAC Enable pin and A/B pins,observe Enable during multi-step movement,Enable remains gated/static rather than pulsed per step,Enable behavior is not A/B step-pulsed,Enable pulses per phase unexpectedly or glitches unsafe,scope/logic analyzer; ALDL/debug,yes,yes,yes,no IAC writer until Enable timing proven,high_static,Confirms source rule on physical hardware.
IAC-007,iac_park,IAC_INIT_PARK_CONTRACT.md; IAC_MINIMAL_MODULE_INPUTS.md,L0008=0 physical movement,L0008; L0007; L000A,$3062,IAC pintle motion or airflow response; A/B pins,force/select L0008=0 path under bench-safe conditions,physical movement direction classified,L0008=0 maps to open or closed direction or no-motion policy documented,movement direction unknown but implementation assumes it,ALDL/debug; scope/logic analyzer; airflow/pintle observation if available,yes,yes,yes,no IAC writer until park direction resolved,medium_static,Classifies target-zero movement.
IAC-008,iac_park,IAC_INIT_PARK_CONTRACT.md,L4EB0=145 park-down behavior,L4EB0; L0007; L0008,$3062,IAC pintle/airflow and A/B pins,force/observe stock park-down path using L4EB0,145-step park-down physical behavior classified,park-down reaches expected stop or direction behavior documented,park behavior unknown but seed trusted,ALDL/debug; scope/logic analyzer; airflow/pintle observation if available,yes,yes,yes,no IAC writer until park behavior resolved,high_static,Classifies mechanical stop/seed validity.
IAC-009,iac_phase,IAC_MINIMAL_MODULE_INPUTS.md; IAC_IDLE_AIR_OUTPUT_CONTRACT.md,safe step cadence / rate limit,minimal_iac_cadence; L000A; L3062,$3062,IAC A/B pins and step timing,run controlled repeated step sequence,safe step cadence measured and upper limit defined,minimum safe delay/rate limit established,writer implemented without cadence limit proof,scope/logic analyzer; ALDL/debug; IAC load,yes,yes,yes,no IAC writer until cadence resolved,medium_planning,Cadence is required before any motion implementation.
BOOT-001,boot_safe_state,MINIMAL_OS_BOOT_SAFE_STATE.md,reset safe defaults,minimal_output_safe_state,mixed,fuel/spark/IAC output probes,reset / power cycle,output-safe defaults entered; runtime outputs inactive,no unsafe output activity during reset,fuel/spark/IAC output activity appears before qualification,scope/logic analyzer; ALDL/debug; reset control,yes,yes,maybe,runtime implementation blocked until boot defaults proven,high_planning,Top-level reset proof.
BOOT-002,boot_safe_state,MINIMAL_OS_BOOT_SAFE_STATE.md; EFI_PW_3FCE_CONTRACT.md,fuel zero before enable,L3FCE/L3FCF; minimal_fuel_enable,$3FCE,injector driver pulse,reset then wait before valid crank/fuel enable,$3FCE stays zero and no injector pulse,fuel remains zero until valid crank/fuel-enable state,nonzero fuel appears before enable,scope/logic analyzer; ALDL/debug,yes,yes,maybe,fuel-only runnable slice blocked until BOOT-002 and FUEL-001..004 pass,high_planning,Boot-safe fuel gate proof.
BOOT-003,dropout_safe_state,MINIMAL_OS_BOOT_SAFE_STATE.md; MINIMAL_OS_EXECUTION_SCHEDULER.md,missing REF/DRP dropout,minimal_ref_drp_valid; minimal_dropout_state,mixed,REF/DRP input and output-safe probes,remove/stop REF/DRP stream,dropout state asserts and outputs move to safe policies,dropout-safe state occurs on missing REF/DRP,runtime remains active or outputs continue unsafe,REF/DRP simulator; ALDL/debug; scope,yes,yes,yes,all runtime slices require dropout proof,high_planning,Signal-loss proof.
BOOT-004,dropout_safe_state,MINIMAL_OS_BOOT_SAFE_STATE.md,watchdog safe fallback,minimal_watchdog_alive; minimal_output_safe_state,mixed,output-safe probes,simulate foreground loop stall/watchdog failure,watchdog-safe fallback requests output-safe defaults,outputs return to safe defaults when watchdog proof fails,outputs remain active after watchdog fault,watchdog simulator or firmware test hook later; ALDL/debug; scope,yes,yes,yes,runtime scheduler blocked until watchdog fallback defined/proven,medium_planning,May require later bench hook to force fault.
BOOT-005,aldl_debug_visibility,MINIMAL_OS_ALDL_DEBUG_MAP.md; MINIMAL_OS_BOOT_SAFE_STATE.md,boot/dropout/watchdog debug visibility,minimal_output_safe_state; minimal_dropout_state; minimal_watchdog_alive,none,ALDL/debug stream,"reset, dropout, watchdog-safe scenarios",boot/dropout/watchdog states are visible in debug stream,state transitions can be reconstructed from ALDL/debug,safe-state cause cannot be diagnosed from debug stream,ALDL/debug logging,yes,no,yes,bench proof package requires visibility before implementation,high_planning,"Proves observability, not control authority."
ALDL-001,aldl_debug_visibility,MINIMAL_OS_ALDL_DEBUG_MAP.md; MINIMAL_OS_STATE_VARIABLES.md,debug map completeness,all selected debug rows,mixed,ALDL/debug stream,static review plus bench capture plan,all Priority 1 values have a debug path,every required bench proof row names required ALDL/debug values,bench proof depends on values not exposed,static review; ALDL/debug design review,yes,no,no,must pass before bench data capture plan freezes,high_planning,Completeness cross-check for proof matrix.
