module,submodule,input_name,input_role,source_symbol,source_address,calibration_section,calibration_address_range,module_candidate,minimal_os_relevance,required_for_first_minimal_os,hardware_contract_dependency,bench_dependency,excluded_reason,confidence,notes
fuel,transient,AE transient state,correction,AE/accel fuel state,source-derived,52 $4914-$4949; 58 $49BC-$49D0; 101 $4D92-$4DC1,$4914-$4949; $49BC-$49D0; $4D92-$4DC1,fuel,likely_required,optional_initially,fuel transient source paths,AE wall-wetting/fuel-film validation,,low_medium_index,"Refinement item; needed for drivability, but not first static output boundary."
fuel,base_airflow,base VE / airflow table input,calibration,VE/MAP/RPM table and airflow basis,source-derived,115 $4EB7-$4EC1; 116 $4EC2-$4EC9; 117 $4ECA-$4F01; 137 $5072-$5079; 138 $507A-$50AC; 145-147 $5130-$5150,VE sections,fuel,likely_required,required,FUEL_OUTPUT base fuel math,VE axis/source validation,,high_index,Core speed-density base airflow/fuel dependency.
fuel,injector_model,injector flow constant,output_scale,IFR / injector flow scalar,calibration/source constant,not confidently isolated in index; source trace required,,unknown,unknown,required,EFI_PW units and fuel mass to PW conversion,actual fuel pressure/injector flow validation,,medium_boundary,"Required for BPW calculation; not safe to infer solely from stock index."
fuel,injector_model,injector deadtime / battery correction,correction,battery offset/deadtime table candidate,source-derived,69 $4B5B-$4B63; 70 $4B64-$4B74; 71 $4B75-$4B85; 72 $4B86-$4B96,$4B5B-$4B96,fuel/battery_voltage,likely_required,required,EFI_PW writer input; injector model contract,deadtime scale/bench validation,,medium_index,"Required to avoid low-voltage and low-PW error; exact units still need source/bench validation."
fuel,injector_model,low-PW correction / transfer function,correction,new transfer table / low-PW model,future minimal OS table,not stock; future tests/static vectors,,unknown,unknown,required,injector low-PW correction contract / physical floor findings,bench validation with $3FCE forced PW,,high_project,Project-specific required correction due known TBI low-PW nonlinearity/floor.
fuel,enrichment,warmup enrichment,correction,warmup/coolant fuel modifiers,source-derived,9 $43AF-$4439; 60 $49E6-$49F5; 62-64 $4A36-$4A55; 68 $4B49-$4B5A,multiple warmup/crank sections,warmup_afterstart/crank_start/fuel,likely_required,required,crank/warmup source paths,coolant scaling and warmup units,,medium_index,Required for cold/hot open-loop operation.
fuel,enrichment,afterstart enrichment,correction,afterstart/restart fuel state,source-derived,60 $49E6-$49F5; 61 $49F6-$4A35; 73-76 $4B97-$4BE9,multiple afterstart sections,crank_start/fuel,likely_required,likely_required,crank/run transition fuel path,afterstart timer/coolant unit validation,,medium_index,"Likely required for stable start/run transition; keep separated from full GM strategy."
fuel,enrichment,crank fuel,calibration,crank fuel tables/scalars,source-derived,62 $4A36-$4A45; 63 $4A46-$4A55; 64 $4A56-$4B16; 73 $4B97-$4BA6; 74 $4BA7-$4BB6,crank fuel sections,crank_start,likely_required,required,crank/run fuel state and $3FCE output,crank pulse bench/log validation,,medium_index,Required before runnable start sequence.
fuel,commanded_mixture,target AFR / stoich basis,calibration,target AFR / commanded equivalence,source-derived,5 $4088-$408E; 52 $4914-$4949; 66 $4B20-$4B2F; 67 $4B30-$4B48; 86-87 $4C9D-$4CBE; 92 $4CF3-$4D03,AFR sections,fuel,likely_required,required,fuel mass/BPW calculation,fuel stoich and commanded AFR policy,,high_index,"Required for final commanded fuel mass; keep stoich configurable."
fuel,safety,fuel enable / no-fuel gate,safety_gate,fuel enable/no-fuel flag,source-derived,source trace required; not calibration-only,,unknown,unknown,required,EFI_PW_3FCE_CONTRACT; DFCO/no-fuel behavior,zero command behavior at $3FCE,,high_boundary,Safety gate must be explicit even if simple.
fuel,output_scale,EFI PW unit conversion,output_scale,PW counts = seconds * 65536,$3FCE/$3FCF,EFI_PW_UNITS; no calibration section,,unknown,unknown,required,EFI_PW_UNITS; MINIMAL_EFI_PW_WRITER,$3FCE unit confirmation,,high_contract,Final output unit for D before STD $3FCE.
fuel,excluded,TCC / transmission tables,excluded,stock trans strategy,calibration index,"trans_excluded sections, 49 total",multiple,trans_excluded,excluded,excluded,TRANSMISSION_EMISSIONS_EXCLUDED,none,transmission strategy excluded unless hardware-required,high_index,Do not feed fuel input boundary.
fuel,excluded,EGR correction tables,excluded,stock EGR/emissions strategy,calibration index,"egr_excluded sections, 17 total",multiple,egr_excluded,excluded,excluded,TRANSMISSION_EMISSIONS_EXCLUDED,none,EGR/emissions strategy excluded,high_index,"Includes EGR spark/fuel correction; exclusion wins over spark/fuel keywords."
fuel,excluded,EVAP / purge tables,excluded,stock EVAP strategy,calibration index,"evap_excluded sections, 4 total",multiple,evap_excluded,excluded,excluded,TRANSMISSION_EMISSIONS_EXCLUDED,none,EVAP/purge strategy excluded,high_index,Do not feed fuel input boundary unless future hardware contract requires purge.
fuel,unresolved,unknown fuel-adjacent sections,unknown,unclassified calibration rows,calibration index,"unknown sections, 24 total",multiple,unknown,unknown,unknown,future source trace only,unknown,,low_index,"Keep visible for later tracing; do not guess or promote."
