address,pc,mnemonic,access_type,width,value_source,routine_label,subsystem,boot_init_run_diag,before_first_3fce_write,after_first_3fce_write,constant_or_variable,possible_role,required_for_minimal_os,confidence,notes
0x3FFC,0x8587,STD L3FFC,W,16,D,L8548,IO_LATCH_OUTPUT,runtime_or_unknown,no,yes,variable_or_runtime_register,external_output_latch_or_io_d_port_global_state,required_for_output_latch_contract_not_direct_3fce,high,ASIC I/O D port / external output latch | I/O D PORT ..
0x3FCA,0x8629,LDX L3FCA,R,16,memory,L85B2,ASIC_STATUS_REF,runtime_or_unknown,no,yes,variable_or_runtime_register,asic_timing_status_read_not_primary_fuel_companion,status_read_not_direct_3fce,high,ASIC 16-bit RPM/event counter | 16 BIT RPM COUNTER
0x3FF6,0xAB97,ADDD L3FF6,R,16,ADDD,LA906,SPARK_EST,runtime_spark_est,no,yes,variable_or_runtime_register,est_fall_counter_scheduler_not_primary_fuel_companion,not_fuel_writer_but_required_for_spark_contract,high,ASIC EST fall counter / output scheduler | EST FALL CNT'R
0x3FF6,0xABA4,SUBD L3FF6,R,16,SUBD,LA906,SPARK_EST,runtime_spark_est,no,yes,variable_or_runtime_register,est_fall_counter_scheduler_not_primary_fuel_companion,not_fuel_writer_but_required_for_spark_contract,high,ASIC EST fall counter / output scheduler | EST FALL CNT'R
0x3FE8,0xABAA,STD L3FE8,W,16,D,LA906,SPARK_EST,runtime_spark_est,no,yes,variable_or_runtime_register,spark_est_timing_handoff_not_primary_fuel_companion,not_fuel_writer_but_required_for_spark_contract,high,ASIC EST/spark timing output engine
0x3FF6,0xABC8,STD L3FF6,W,16,D,LA906,SPARK_EST,runtime_spark_est,no,yes,variable_or_runtime_register,est_fall_counter_scheduler_not_primary_fuel_companion,not_fuel_writer_but_required_for_spark_contract,high,ASIC EST fall counter / output scheduler | EST FALL CNT'R
0x3FCA,0xABD3,LDD L3FCA,R,16,memory,LA906,ASIC_STATUS_REF,runtime_or_unknown,no,yes,variable_or_runtime_register,asic_timing_status_read_not_primary_fuel_companion,status_read_not_direct_3fce,high,ASIC 16-bit RPM/event counter
0x3FEC,0xAC28,LDX L3FEC,R,16,memory,LA906,ASIC_STATUS_REF,runtime_or_unknown,no,yes,variable_or_runtime_register,asic_status_source_read_not_primary_fuel_companion,status_read_not_direct_3fce,high,ASIC hardware status/source
0x3FFC,0xCC5A,LDD L3FFC,R,16,memory,LCC4B,IO_LATCH_OUTPUT,runtime_or_unknown,no,yes,variable_or_runtime_register,external_output_latch_or_io_d_port_global_state,required_for_output_latch_contract_not_direct_3fce,high,ASIC I/O D port / external output latch | I/O D PORT ..
0x3FFC,0xCC75,STD L3FFC,W,16,D,LCC4B,IO_LATCH_OUTPUT,runtime_or_unknown,no,yes,variable_or_runtime_register,external_output_latch_or_io_d_port_global_state,required_for_output_latch_contract_not_direct_3fce,high,ASIC I/O D port / external output latch | I/O D PORT ..
0x3FC8,0xCE81,LDD L3FC8,R,16,memory,LCE10,ASIC_STATUS_REF,runtime_or_unknown,no,yes,variable_or_runtime_register,asic_timing_status_read_not_primary_fuel_companion,status_read_not_direct_3fce,high,ASIC timing/status candidate
0x3FCA,0xE01E,LDX L3FCA,R,16,memory,LDF54,ASIC_STATUS_REF,runtime_or_unknown,no,yes,variable_or_runtime_register,asic_timing_status_read_not_primary_fuel_companion,status_read_not_direct_3fce,high,ASIC 16-bit RPM/event counter
0x3FFC,0xF3EF,LDD L3FFC,R,16,memory,LF3EE,IO_LATCH_OUTPUT,diagnostic_or_aldl_output_latch,no,yes,variable_or_runtime_register,external_output_latch_or_io_d_port_global_state,required_for_output_latch_contract_not_direct_3fce,high,ASIC I/O D port / external output latch | I/O D PORT ..
0x3FFC,0xF3FD,STD L3FFC,W,16,D,LF3EE,IO_LATCH_OUTPUT,diagnostic_or_aldl_output_latch,no,yes,variable_or_runtime_register,external_output_latch_or_io_d_port_global_state,required_for_output_latch_contract_not_direct_3fce,high,ASIC I/O D port / external output latch | I/O D PORT ..
0x3FFC,0xF637,LDD L3FFC,R,16,memory,LF5E8,IO_LATCH_OUTPUT,diagnostic_or_aldl_output_latch,no,yes,variable_or_runtime_register,external_output_latch_or_io_d_port_global_state,required_for_output_latch_contract_not_direct_3fce,high,ASIC I/O D port / external output latch | I/O D PORT ..
0x3FFC,0xF63F,STD L3FFC,W,16,D,LF5E8,IO_LATCH_OUTPUT,diagnostic_or_aldl_output_latch,no,yes,variable_or_runtime_register,external_output_latch_or_io_d_port_global_state,required_for_output_latch_contract_not_direct_3fce,high,ASIC I/O D port / external output latch | I/O D PORT ..
0x3FFC,0xF7A2,LDD L3FFC,R,16,memory,LF781,IO_LATCH_OUTPUT,diagnostic_or_aldl_output_latch,no,yes,variable_or_runtime_register,external_output_latch_or_io_d_port_global_state,required_for_output_latch_contract_not_direct_3fce,high,ASIC I/O D port / external output latch | I/O D PORT ..
0x3FFC,0xF7AA,STD L3FFC,W,16,D,LF781,IO_LATCH_OUTPUT,diagnostic_or_aldl_output_latch,no,yes,variable_or_runtime_register,external_output_latch_or_io_d_port_global_state,required_for_output_latch_contract_not_direct_3fce,high,ASIC I/O D port / external output latch | I/O D PORT ..
0x3FFC,0xF813,LDD L3FFC,R,16,memory,LF781,IO_LATCH_OUTPUT,diagnostic_or_aldl_output_latch,no,yes,variable_or_runtime_register,external_output_latch_or_io_d_port_global_state,required_for_output_latch_contract_not_direct_3fce,high,ASIC I/O D port / external output latch | I/O D PORT ..
0x3FFC,0xF81B,STD L3FFC,W,16,D,LF781,IO_LATCH_OUTPUT,diagnostic_or_aldl_output_latch,no,yes,variable_or_runtime_register,external_output_latch_or_io_d_port_global_state,required_for_output_latch_contract_not_direct_3fce,high,ASIC I/O D port / external output latch | I/O D PORT ..
0x3FFC,0xFA3B,LDD L3FFC,R,16,memory,LFA28,IO_LATCH_OUTPUT,diagnostic_or_aldl_output_latch,no,yes,variable_or_runtime_register,external_output_latch_or_io_d_port_global_state,required_for_output_latch_contract_not_direct_3fce,high,ASIC I/O D port / external output latch | I/O D PORT ..
0x3FFC,0xFA43,STD L3FFC,W,16,D,LFA28,IO_LATCH_OUTPUT,diagnostic_or_aldl_output_latch,no,yes,variable_or_runtime_register,external_output_latch_or_io_d_port_global_state,required_for_output_latch_contract_not_direct_3fce,high,ASIC I/O D port / external output latch | I/O D PORT ..
0x3FCC,0xFADC,STX L3FCC,W,16,X,LFA5B,ASIC_COMMAND_OUTPUT,diagnostic_output_cycling,no,yes,variable_or_runtime_register,diagnostic_output_preload_or_mode_word_candidate,probably_diagnostic_only_but_bench_confirm,high,ASIC fuel/scheduler command candidate A
0x3FEA,0xFAE5,STX L3FEA,W,16,X,LFA5B,FUEL_MATH_HANDOFF,diagnostic_output_cycling,no,yes,variable_or_runtime_register,diagnostic_output_preload_or_mode_word_candidate,probably_diagnostic_only_but_bench_confirm,high,ASIC fuel/scheduler command candidate B
0x3FCE,0xFAEE,STD L3FCE,W,16,D=0x00C5,LFA5B,ASIC_COMMAND_OUTPUT,diagnostic_output_cycling,no,yes,constant,diagnostic_efi_pw_command_or_zero_off,unknown_test_item,high,ASIC EFI PW / fuel pulse-width handoff | SAVE TO EFI PW
0x3FF6,0xFB03,STD L3FF6,W,16,D,LFA5B,SPARK_EST,runtime_spark_est,no,yes,variable_or_runtime_register,est_fall_counter_scheduler_not_primary_fuel_companion,not_fuel_writer_but_required_for_spark_contract,high,ASIC EST fall counter / output scheduler | EST FALL CNT'R
0x3FCE,0xFB44,STD L3FCE,W,16,D=0x0000,LFA5B,ASIC_COMMAND_OUTPUT,diagnostic_output_cycling,no,yes,constant,diagnostic_efi_pw_command_or_zero_off,unknown_test_item,high,ASIC EFI PW / fuel pulse-width handoff
0x3FFC,0xFB5F,LDD L3FFC,R,16,memory,LFA5B,IO_LATCH_OUTPUT,diagnostic_output_cycling,no,yes,variable_or_runtime_register,external_output_latch_or_io_d_port_global_state,required_for_output_latch_contract_not_direct_3fce,high,ASIC I/O D port / external output latch | I/O D PORT ..
0x3FFC,0xFB69,STD L3FFC,W,16,D,LFA5B,IO_LATCH_OUTPUT,diagnostic_output_cycling,no,yes,variable_or_runtime_register,external_output_latch_or_io_d_port_global_state,required_for_output_latch_contract_not_direct_3fce,high,ASIC I/O D port / external output latch | I/O D PORT ..
