boot_stage,state_name,trigger_source,module,submodule,state_seeded,input_required,output_default,hardware_write,hardware_address,allowed_now,bench_gated,forbidden_until,safe_value,dropout_value,source_contract_dependency,minimal_os_required,confidence,notes
iac_safe,IAC_SAFE_STATE,RESET_ENTRY / REF_DRP_WAIT / dropout,iac_idle,software_hold,IAC software state seed selected,"reset-in-work; bad-shutdown; L4EB0; Enable/protection",software seed/hold only,forbidden,L3062,no,yes,"physical direction, Enable, park, cadence, and A/B mapping bench-proven",software hold / no motion,hold software state or safe target only,IAC_MINIMAL_MODULE_INPUTS.md; IAC_INIT_PARK_CONTRACT.md; IAC_ENABLE_FAULT_GATE_CONTRACT.md,yes,high_policy,No physical IAC motion or latch write.
iac_seed,IAC_SAFE_STATE,RAM_STATE_SEED,iac_idle,position_seed,L0007/L0008/L0009/L000A policy selected,"retained validity; bad shutdown; reset-in-work",software state seeded; output unchanged,no,L3062,no,yes,IAC park/reset behavior bench-proven,seed only,hold or reset policy,IAC_INIT_PARK_CONTRACT.md; source/minimal_os/iac/README.md,yes,high_static,Software state seed only; does not command phase or Enable.
iac_motion_block,IAC_SAFE_STATE,before bench gates resolved,iac_idle,motion_block,physical motion blocked,"Enable; direction; cadence; A/B mapping; seed-valid state",no phase output,forbidden,L3062,no,yes,all IAC physical gates proven,no motion,hold/no motion,IAC_PHASE_SEQUENCE_CONTRACT.md; IAC_ENABLE_FAULT_GATE_CONTRACT.md; IAC_IDLE_AIR_OUTPUT_CONTRACT.md,yes,high_policy,Output path is mapped but not implementation-ready.
wait_for_ref,REF_DRP_WAIT,after reset defaults,scheduler,ref_wait,RPM/period invalid,no valid REF/DRP,"fuel/spark run outputs blocked; IAC no motion",no,mixed,planning_only,yes,valid REF/DRP capture behavior proven,wait with safe outputs,dropout safe outputs,MINIMAL_OS_EXECUTION_SCHEDULER.md; SPARK_TIMEBASE_PERIOD_CONTRACT.md,yes,high_contract,No runtime control output before REF/DRP validity.
crank_qualify,CRANK_QUALIFY,first crank/ref indication,scheduler,crank_gate,crank qualification state,"REF/DRP present; crank/run flags; battery safe",crank-safe input permissions,no,none,planning_only,yes,crank/run qualification thresholds proven,crank inputs may become valid,return to REF_DRP_WAIT or DROPOUT_SAFE_STATE,MINIMAL_OS_EXECUTION_SCHEDULER.md; SPARK_BYPASS_EST_TRANSITION.md,yes,medium_contract,"Crank qualification permits inputs, not unsupported outputs."
crank_outputs,CRANK_QUALIFY,crank qualified,scheduler,crank_outputs,"crank fuel intent, startup spark intent, IAC crank target selected","RPM/period partial; coolant; battery; crank state","fuel intent may be computed; spark/IAC intent only",candidate,$3FCE only,fuel_only_provisional,yes,"fuel $3FCE bench validation; spark/IAC output gates proven",fuel zero or crank PW if intentionally enabled; spark/IAC intent only,"fuel zero; spark safe; IAC hold",FUEL_MINIMAL_MODULE_INPUTS.md; SPARK_MINIMAL_MODULE_INPUTS.md; IAC_MINIMAL_MODULE_INPUTS.md,yes,medium_planning,"Only fuel has a provisional output path; spark/IAC remain intent-only."
first_period,FIRST_PERIOD_VALID,first valid REF/DRP period,ref_rpm_period,period_valid,RPM/period basis becomes usable,"valid capture; no dropout",RPM/timebase usable by modules,no,none,planning_only,yes,period unit/update cadence proven,timebase valid,timebase invalidated,SPARK_TIMEBASE_PERIOD_CONTRACT.md; MINIMAL_OS_EXECUTION_SCHEDULER.md,yes,high_contract,First period does not by itself permit spark handoff.
run_qualify,RUN_QUALIFY,RPM/ref-event gates satisfied,scheduler,run_gate,run qualification state,"valid period stream; crank/run threshold; dropout timer clear",normal scheduler handoff permitted,no,none,planning_only,yes,run criteria and safe transitions proven,normal scheduler handoff,dropout safe state,MINIMAL_OS_EXECUTION_SCHEDULER.md; MINIMAL_OS_MODULE_BOUNDARY.md,yes,medium_contract,Run qualification permits normal event scheduling but not forbidden writers.
normal_handoff,RUN_QUALIFY,run qualification true,scheduler,normal_scheduler_handoff,normal scheduler ownership active,"sensor snapshot; period; module gates",module events may run per scheduler contract,event dispatch only,no,none,planning_only,yes,runtime scheduler implementation pass,scheduler dispatch allowed,dropout safe state,MINIMAL_OS_EXECUTION_SCHEDULER.md,yes,medium_contract,Still no runtime scheduler ASM in this pass.
dropout_entry,DROPOUT_SAFE_STATE,missing REF/DRP or unsafe runtime state,watchdog_safe_state,dropout_entry,dropout state latched,"missing REF/DRP; invalid period; stalled loop; unsafe state",modules forced to safe policy,safe-state intent,candidate,mixed,planning_only,yes,dropout thresholds and exact actions proven,safe state,safe state,MINIMAL_OS_EXECUTION_SCHEDULER.md,yes,high_contract,Top-level dropout transition.
dropout_fuel,DROPOUT_SAFE_STATE,dropout state,fuel,fuel_zero,fuel output forced no-pulse,dropout flag / no-fuel gate,$3FCE zero/no-pulse intent,yes_provisional_via_contract,$3FCE,yes_provisional,yes,safe zero behavior and $3FCE bench validation,$3FCE=0,$3FCE=0,EFI_PW_3FCE_CONTRACT.md; MINIMAL_EFI_PW_WRITER.md,yes,medium_static,Only through fuel writer contract.
dropout_spark,DROPOUT_SAFE_STATE,dropout state,spark,spark_safe,spark safe/bypass/dropout intent,"dropout flag; bypass/run invalid",safe intent only,forbidden,$3FE8/$3FE6/$3FF6/$3FDC,no,yes,physical spark safe/dropout behavior proven,safe/bypass intent,safe/bypass intent,SPARK_MINIMAL_MODULE_INPUTS.md; SPARK_BYPASS_EST_TRANSITION.md,yes,high_policy,No spark hardware write during dropout.
dropout_iac,DROPOUT_SAFE_STATE,dropout state,iac_idle,iac_hold,IAC hold or safe target intent,"dropout flag; seed-valid state; Enable/protection",software hold/safe target only,forbidden,L3062,no,yes,safe IAC hold/park behavior and writer proven,hold/no motion,hold/no motion,IAC_MINIMAL_MODULE_INPUTS.md; IAC_INIT_PARK_CONTRACT.md,yes_future,medium_policy,No L3062 write during dropout.
watchdog_safe,WATCHDOG_SAFE_STATE,foreground loop stops / watchdog fault,watchdog_safe_state,watchdog_fallback,watchdog-safe fallback entered,loop-alive proof absent,output-safe defaults requested,candidate safe defaults,candidate,mixed,no_runtime_code_yet,yes,watchdog safe-state implementation pass,safe defaults,safe defaults,MINIMAL_OS_EXECUTION_SCHEDULER.md; MINIMAL_OS_MODULE_BOUNDARY.md,yes,medium_contract,Defines fallback requirement without implementing watchdog ASM.
bench_gated_spark,BENCH_GATED_OUTPUTS,any spark output request,spark,bench_gate,spark handoff blocked,spark timing candidate,no write,none,forbidden,$3FE8/$3FE6/$3FF6/$3FDC,no,yes,spark handoff bench classification complete,blocked,blocked,SPARK_ASIC_HANDOFF_CONTRACT.md; SPARK_LA906_OUTPUT_SEQUENCE.md,yes,high_policy,Spark output stays blocked.
bench_gated_iac,BENCH_GATED_OUTPUTS,any IAC output request,iac_idle,bench_gate,IAC handoff blocked,phase/enable candidate,no write,none,forbidden,L3062,no,yes,IAC physical mapping/Enable/park/cadence proven,blocked,blocked,IAC_IDLE_AIR_OUTPUT_CONTRACT.md; IAC_PHASE_SEQUENCE_CONTRACT.md; IAC_ENABLE_FAULT_GATE_CONTRACT.md,yes,high_policy,IAC output stays blocked.
forbidden_outputs,FORBIDDEN_OUTPUTS,all boot/scheduler states,boot,forbidden_matrix,forbidden write matrix active,hardware address list,forbidden outputs blocked,none,forbidden,$3FE8/$3FE6/$3FF6/$3FDC/L3062,no,yes,future bench classification and explicit writer contract,blocked,blocked,MINIMAL_OS_EXECUTION_SCHEDULER.md,yes,high_policy,Central explicit forbidden list.
unknown_boot,UNKNOWN,unresolved boot ownership,unknown,unknown,unknown state not assigned,unclassified source/bench data,unknown remains unknown,none,no,unknown,no,yes,future source trace assigns ownership,unknown,unknown,MINIMAL_OS_BOOT_SAFE_STATE.md,unknown,low_unclassified,"Unknown boot ownership is listed, not guessed."
