section_index,section_name,section_title,start_address,end_address,record_count,fcb_count,fdb_count,data_width,raw_label,raw_comment,module_candidate,submodule_candidate,minimal_os_relevance,excluded_reason,source_confidence,needs_hardware_contract,notes
15,CAL_$44D5,L44D2 FCB 9 ; 2.0 32 | L44D3 FCB 4 ; 1.0 48 | L44D4 FCB 2 ; ,$44D5,$44F0,28,28,0,8_bit_fcb,L44D5,L44D2 FCB 9 ; 2.0 32 | L44D3 FCB 4 ; 1.0 48 | L44D4 FCB 2 ; 0.6 64 | A,spark,spark math/output support,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
16,CAL_$44F1,Spk RPM ERR,$44F1,$44F8,8,8,0,8_bit_fcb,L44F1,Spk RPM ERR,iac_idle,IAC/idle-air module,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
17,CAL_$44F9,MULT Kpa MAP,$44F9,$4502,10,10,0,8_bit_fcb,L44F9,MULT Kpa MAP,iac_idle,IAC/idle-air module,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
18,CAL_$4502,Deg RPM,$4503,$450A,8,8,0,8_bit_fcb,L4503,Deg RPM,iac_idle,IAC/idle-air module,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
19,CAL_$450B,FACTOR Kpa MAP,$450B,$451A,16,16,0,8_bit_fcb,L450B,FACTOR Kpa MAP,iac_idle,IAC/idle-air module,bench_gated,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
20,CAL_$4518,Deg RPM RATIO,$451B,$452C,18,18,0,8_bit_fcb,L451B,Deg RPM RATIO,iac_idle,IAC/idle-air module,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
21,CAL_$452D,DEG SA COOL Deg c,$452D,$4536,10,10,0,8_bit_fcb,L452D,DEG SA COOL Deg c,crank_start,crank/start module,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
22,CAL_$4537,SEC'S COOL Deg c,$4537,$4540,10,10,0,8_bit_fcb,L4537,SEC'S COOL Deg c,spark,spark math/output support,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
23,CAL_$4541,MULT COOL Deg c,$4541,$454A,10,10,0,8_bit_fcb,L4541,MULT COOL Deg c,spark,spark math/output support,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
24,CAL_$454B,usec RPM,$454B,$4557,13,13,0,8_bit_fcb,L454B,usec RPM,spark_latency,spark module latency,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
25,CAL_$4558,L4557 FCB 10 ; 153 4800 | BARO CORR FACTOR vs RPM & TPS | TE,$4558,$4584,45,45,0,8_bit_fcb,L4558,L4557 FCB 10 ; 153 4800 | BARO CORR FACTOR vs RPM & TPS | TERM ADDED T,sensor_scaling,sensor scaling/input conditioning,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
26,CAL_$4585,Deg SA RPM,$4585,$458C,8,8,0,8_bit_fcb,L4585,Deg SA RPM,spark,spark math/output support,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
27,CAL_$458D,Deg SA Kpa Vac,$458D,$4593,7,7,0,8_bit_fcb,L458D,Deg SA Kpa Vac,spark,spark math/output support,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
28,CAL_$4594,Deg/Msec RPM,$4594,$45A4,17,17,0,8_bit_fcb,L4594,Deg/Msec RPM,spark,spark math/output support,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
29,CAL_$45A5,%/Msec RPM,$45A5,$45BD,25,25,0,8_bit_fcb,L45A5,%/Msec RPM,spark,spark math/output support,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
30,CAL_$45BE,% MULT RPM,$45BE,$45C6,9,9,0,8_bit_fcb,L45BE,% MULT RPM,spark,spark math/output support,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
31,CAL_$45C7,%MULT Kpa MAP,$45C7,$45DA,20,20,0,8_bit_fcb,L45C7,%MULT Kpa MAP,spark,spark math/output support,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
32,CAL_$45DB,Msec RPM,$45DB,$461B,65,65,0,8_bit_fcb,L45DB,Msec RPM,spark,spark math/output support,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
33,CAL_$461C,Msec RPM,$461C,$465C,65,65,0,8_bit_fcb,L461C,Msec RPM,unknown,unknown,unknown,,low_unclassified,yes_if_later_used,no confident module keyword; keep listed rather than guessing
34,CAL_$465D,msec RPM,$465D,$46E3,70,5,65,mixed_fcb_fdb,L465D,msec RPM,spark,spark math/output support,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
35,CAL_$46E4,Deg Cool Deg c,$46E4,$46F8,21,21,0,8_bit_fcb,L46E4,Deg Cool Deg c,spark,spark math/output support,bench_gated,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
36,CAL_$46F9,END OF SPARK PARAM'S | EGR PARAM'S | TYPE $31 PCM | EGR ENAB,$46F9,$4709,17,17,0,8_bit_fcb,L46F9,END OF SPARK PARAM'S | EGR PARAM'S | TYPE $31 PCM | EGR ENABLE QUALIFI,egr_excluded,egr,excluded,EGR/emissions strategy excluded,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
37,CAL_$470A,0 = VAC,$470A,$470A,1,1,0,8_bit_fcb,L470A,0 = VAC,egr_excluded,egr,excluded,EGR/emissions strategy excluded,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
38,CAL_$470B,09-18-2000 Dissassemby of BMHM | 9 COL x 9 BLOCKS = 81 BYTES,$470B,$475F,85,85,0,8_bit_fcb,L470B,09-18-2000 Dissassemby of BMHM | 9 COL x 9 BLOCKS = 81 BYTES | TBL = 2,egr_excluded,egr,excluded,EGR/emissions strategy excluded,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
39,CAL_$4760,MULT DEG C COOL,$4760,$4766,7,7,0,8_bit_fcb,L4760,MULT DEG C COOL,egr_excluded,egr,excluded,EGR/emissions strategy excluded,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
40,CAL_$4767,EGR GAIN FACTOR vs BARO & MAP | FOR BP EGR WITH 0 TO DISABLE,$4767,$4789,35,35,0,8_bit_fcb,L4767,EGR GAIN FACTOR vs BARO & MAP | FOR BP EGR WITH 0 TO DISABLE EGR | OR ,egr_excluded,egr,excluded,EGR/emissions strategy excluded,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
41,CAL_$478A,(BP EGR) | TBL = 00 = NO FUEL REDUCTION | = FF = 25% FUEL RE,$478A,$47CD,68,68,0,8_bit_fcb,L478A,(BP EGR) | TBL = 00 = NO FUEL REDUCTION | = FF = 25% FUEL REDUCTION | ,egr_excluded,egr,excluded,EGR/emissions strategy excluded,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
42,CAL_$47CE,FILT COEF gms/sec,$47CE,$47D3,6,6,0,8_bit_fcb,L47CE,FILT COEF gms/sec,egr_excluded,egr,excluded,EGR/emissions strategy excluded,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
43,CAL_$47D4,Kpa PSI gms/sec flow,$47D4,$47E4,17,17,0,8_bit_fcb,L47D4,Kpa PSI gms/sec flow,egr_excluded,egr,excluded,EGR/emissions strategy excluded,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
44,CAL_$47E5,L47E4 FCB 132 ; 41.3 5.9 256 | %EGR FLOW vs EGR VALVE PRESS ,$47E5,$4855,113,113,0,8_bit_fcb,L47E5,L47E4 FCB 132 ; 41.3 5.9 256 | %EGR FLOW vs EGR VALVE PRESS DROP and |,egr_excluded,egr,excluded,EGR/emissions strategy excluded,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
45,CAL_$4856,FACTOR Kpa baro,$4856,$485E,8,8,0,8_bit_fcb,L4856,FACTOR Kpa baro,egr_excluded,egr,excluded,EGR/emissions strategy excluded,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
46,CAL_$485F,EGR SPARK CORRECTION vs RPM & LOAD | (Load = %EGR OR Vac) | SEE,$485F,$485F,1,1,0,8_bit_fcb,L485F,EGR SPARK CORRECTION vs RPM & LOAD | (Load = %EGR OR Vac) | SEE BIAS AT L,egr_excluded,egr,excluded,EGR/emissions strategy excluded,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
47,CAL_$4860,SEE BIAS AT L413A, (0 DEG) | Dissassemby of BMHM | 13 X 5 LINE,$4860,$48A9,74,74,0,8_bit_fcb,L4860,SEE BIAS AT L413A, (0 DEG) | Dissassemby of BMHM | 13 X 5 LINES | TABLE =,egr_excluded,egr,excluded,EGR/emissions strategy excluded,medium_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
48,CAL_$48AA,%D.C. % POS ERR,$48AA,$48AF,6,6,0,8_bit_fcb,L48AA,%D.C. % POS ERR,egr_excluded,egr,excluded,EGR/emissions strategy excluded,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
49,CAL_$48B0,FACTOR % POS ERR,$48B0,$48B5,6,6,0,8_bit_fcb,L48B0,FACTOR % POS ERR,egr_excluded,egr,excluded,EGR/emissions strategy excluded,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
50,CAL_$48B6,FACTOR % POS ERR,$48B6,$48F6,64,64,0,8_bit_fcb,L48B6,FACTOR % POS ERR,egr_excluded,egr,excluded,EGR/emissions strategy excluded,medium_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
51,CAL_$48F7,b4 1 = Not Used | b3 1 = Not Used | b2 1 = SEPARATE BLM PK/NE,$48F7,$4913,29,29,0,8_bit_fcb,L48F7,b4 1 = Not Used | b3 1 = Not Used | b2 1 = SEPARATE BLM PK/NEUT CELLS | B,fuel,fuel math/output support,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
52,CAL_$4914,L4912 FCB 7 ; PROPORTIONAL CNT'L LIMIT IF ACELL LMT IN EFFECT | AFR PA,$4914,$4949,54,54,0,8_bit_fcb,L4914,L4912 FCB 7 ; PROPORTIONAL CNT'L LIMIT IF ACELL LMT IN EFFECT | AFR PARAMS | BMHM,,fuel,fuel math/output support,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
53,CAL_$494A,L4949 FCB 0 ; 128 DRP'S, TIME TO COAST DOWN TO ~0 RPM (NO WINDAGE),$494A,$494E,5,5,0,8_bit_fcb,L494A,L4949 FCB 0 ; 128 DRP'S, TIME TO COAST DOWN TO ~0 RPM (NO WINDAGE),crank_start,crank/start module,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
54,CAL_$494F,L494B FCB 110 ; 477 mvdc LEAN o2 Thresh at IDLE | L494C FCB 119 ; ,$494F,$4974,38,38,0,8_bit_fcb,L494F,L494B FCB 110 ; 477 mvdc LEAN o2 Thresh at IDLE | L494C FCB 119 ; 516 mvdc M,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,medium_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
55,CAL_$4975,L4971 FCB 25 ; 3.125% TPS TPS THRESH TO DISABLE O2 CLOSED LOOP | L,$4975,$4979,5,5,0,8_bit_fcb,L4975,L4971 FCB 25 ; 3.125% TPS TPS THRESH TO DISABLE O2 CLOSED LOOP | L4972 FCB 24,sensor_scaling,sensor scaling/input conditioning,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
56,CAL_$497A,FACTOR BPW,$497A,$497F,6,6,0,8_bit_fcb,L497A,FACTOR BPW,fuel,fuel math/output support,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
57,CAL_$4980,L497D FCB 0 ; 0.000 100 | L497E FCB 0 ; 0.000 120 | L497F FCB 0,$4980,$49BB,60,60,0,8_bit_fcb,L4980,L497D FCB 0 ; 0.000 100 | L497E FCB 0 ; 0.000 120 | L497F FCB 0 ; 0.,fuel,fuel math/output support,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
58,CAL_$49BC,TIME (msec) FLOW,$49BC,$49D0,21,21,0,8_bit_fcb,L49BC,TIME (msec) FLOW,fuel,fuel math/output support,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
59,CAL_$49D1,FACTOR BPW,$49D1,$49E5,21,21,0,8_bit_fcb,L49D1,FACTOR BPW,fuel,fuel math/output support,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
60,CAL_$49E6,L49E5 FCB 255 ; 0.996 120 | RESTART FUEL ENRICH Vs INITIAL FUEL ,$49E6,$49F5,16,16,0,8_bit_fcb,L49E6,L49E5 FCB 255 ; 0.996 120 | RESTART FUEL ENRICH Vs INITIAL FUEL ENRICH MULT,,crank_start,crank/start module,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
61,CAL_$49F6,L49F2 FCB 128 ; 1.000 60 | L49F3 FCB 111 ; 0.867 80 | L49,$49F6,$4A35,64,64,0,8_bit_fcb,L49F6,L49F2 FCB 128 ; 1.000 60 | L49F3 FCB 111 ; 0.867 80 | L49F4 FCB 102,fuel,fuel math/output support,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
62,CAL_$4A36,DEG C COOL,$4A36,$4A45,16,16,0,8_bit_fcb,L4A36,DEG C COOL,crank_start,crank/start module,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
63,CAL_$4A46,SEC'S DEG C COOL,$4A46,$4A55,16,16,0,8_bit_fcb,L4A46,SEC'S DEG C COOL,crank_start,crank/start module,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
64,CAL_$4A56,AFR DEG C COOL,$4A56,$4B16,193,193,0,8_bit_fcb,L4A56,AFR DEG C COOL,crank_start,crank/start module,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
65,CAL_$4B17,Factor Deg c coolant,$4B17,$4B1F,9,9,0,8_bit_fcb,L4B17,Factor Deg c coolant,unknown,unknown,unknown,,low_unclassified,yes_if_later_used,no confident module keyword; keep listed rather than guessing
66,CAL_$4B20,AFR BPW,$4B20,$4B2F,16,16,0,8_bit_fcb,L4B20,AFR BPW,fuel,fuel math/output support,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
67,CAL_$4B30,AFR Deg c Coolant,$4B30,$4B48,25,25,0,8_bit_fcb,L4B30,AFR Deg c Coolant,fuel,fuel math/output support,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
68,CAL_$4B49,MULT DEG C COOL,$4B49,$4B5A,18,18,0,8_bit_fcb,L4B49,MULT DEG C COOL,crank_start,crank/start module,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
69,CAL_$4B5B,MSEC BPW,$4B5B,$4B63,9,9,0,8_bit_fcb,L4B5B,MSEC BPW,fuel,fuel math/output support,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
70,CAL_$4B64,MSEC BPW,$4B64,$4B74,17,17,0,8_bit_fcb,L4B64,MSEC BPW,fuel,fuel math/output support,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
71,CAL_$4B75,AD VALUE BATT,$4B75,$4B85,17,17,0,8_bit_fcb,L4B75,AD VALUE BATT,battery_voltage,voltage qualification/correction,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
72,CAL_$4B86,MSEC BPW,$4B86,$4B96,17,17,0,8_bit_fcb,L4B86,MSEC BPW,fuel,fuel math/output support,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
73,CAL_$4B97,DEG C COOL,$4B97,$4BA6,16,16,0,8_bit_fcb,L4B97,DEG C COOL,crank_start,crank/start module,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
74,CAL_$4BA7,SEC'S DEG C COOL,$4BA7,$4BB6,16,16,0,8_bit_fcb,L4BA7,SEC'S DEG C COOL,crank_start,crank/start module,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
75,CAL_$4BB7,AFR BPW,$4BB7,$4BD3,29,29,0,8_bit_fcb,L4BB7,AFR BPW,fuel,fuel math/output support,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
76,CAL_$4BD4,TIME DEG C COOL,$4BD4,$4BE9,22,22,0,8_bit_fcb,L4BD4,TIME DEG C COOL,crank_start,crank/start module,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
77,CAL_$4BEA,% TPS RPM,$4BEA,$4C03,26,26,0,8_bit_fcb,L4BEA,% TPS RPM,sensor_scaling,sensor scaling/input conditioning,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
78,CAL_$4C04,% TPS MPH,$4C04,$4C25,34,34,0,8_bit_fcb,L4C04,% TPS MPH,sensor_scaling,sensor scaling/input conditioning,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
79,CAL_$4C26,L4C25 FCB 4 ; 0.391 150.0 | PWR ENRICHMENT MULT vs RPM & TPS | D,$4C26,$4C52,45,45,0,8_bit_fcb,L4C26,L4C25 FCB 4 ; 0.391 150.0 | PWR ENRICHMENT MULT vs RPM & TPS | Dissassemble,fuel,fuel math/output support,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
80,CAL_$4C53,L4C52 FCB 210 ; 20.5 100 | MAXIMUM POWER ENRICHMENT MULT vs RPM &,$4C53,$4C72,32,32,0,8_bit_fcb,L4C53,L4C52 FCB 210 ; 20.5 100 | MAXIMUM POWER ENRICHMENT MULT vs RPM & COOL TMP,fuel,fuel math/output support,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
81,CAL_$4C73,MULT %TPS,$4C73,$4C79,7,7,0,8_bit_fcb,L4C73,MULT %TPS,sensor_scaling,sensor scaling/input conditioning,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
82,CAL_$4C7A,%TPS DEG c COOL,$4C7A,$4C83,10,10,0,8_bit_fcb,L4C7A,%TPS DEG c COOL,sensor_scaling,sensor scaling/input conditioning,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
83,CAL_$4C84,%TPS DEG c COOL,$4C84,$4C8D,10,10,0,8_bit_fcb,L4C84,%TPS DEG c COOL,sensor_scaling,sensor scaling/input conditioning,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
84,CAL_$4C8E,%TPS DEG c COOL,$4C8E,$4C96,9,9,0,8_bit_fcb,L4C8E,%TPS DEG c COOL,sensor_scaling,sensor scaling/input conditioning,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
85,CAL_$4C97,Kpa MAP DEG C COOL,$4C97,$4C9C,6,6,0,8_bit_fcb,L4C97,Kpa MAP DEG C COOL,sensor_scaling,sensor scaling/input conditioning,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
86,CAL_$4C9D,AFR Deg c COOL,$4C9D,$4CAD,17,17,0,8_bit_fcb,L4C9D,AFR Deg c COOL,sensor_scaling,sensor scaling/input conditioning,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
87,CAL_$4CAE,AFR Deg c COOL,$4CAE,$4CBE,17,17,0,8_bit_fcb,L4CAE,AFR Deg c COOL,sensor_scaling,sensor scaling/input conditioning,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
88,CAL_$4CBF,bin Deg c COOL,$4CBF,$4CCF,17,17,0,8_bit_fcb,L4CBF,bin Deg c COOL,sensor_scaling,sensor scaling/input conditioning,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
89,CAL_$4CD0,MUL DRP COUNT,$4CD0,$4CE0,17,17,0,8_bit_fcb,L4CD0,MUL DRP COUNT,unknown,unknown,unknown,,low_unclassified,yes_if_later_used,no confident module keyword; keep listed rather than guessing
90,CAL_$4CE1,msec AIR FLOW,$4CE1,$4CE9,9,9,0,8_bit_fcb,L4CE1,msec AIR FLOW,egr_excluded,egr,excluded,EGR/emissions strategy excluded,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
91,CAL_$4CEA,MAP IN KPA,$4CEA,$4CF2,9,9,0,8_bit_fcb,L4CEA,MAP IN KPA,sensor_scaling,sensor scaling/input conditioning,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
92,CAL_$4CF3,AFR Deg C,$4CF3,$4D03,17,17,0,8_bit_fcb,L4CF3,AFR Deg C,fuel,fuel math/output support,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
93,CAL_$4D04,L4D03 FCB 138 ; 13.8 128 | EGR A/F RATIO BIAS vs MAP AND AIR FLOW,$4D04,$4D27,36,36,0,8_bit_fcb,L4D04,L4D03 FCB 138 ; 13.8 128 | EGR A/F RATIO BIAS vs MAP AND AIR FLOW | 0,egr_excluded,egr,excluded,EGR/emissions strategy excluded,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
94,CAL_$4D28,PC CNT OFFSET,$4D28,$4D38,17,17,0,8_bit_fcb,L4D28,PC CNT OFFSET,unknown,unknown,unknown,,low_unclassified,yes_if_later_used,no confident module keyword; keep listed rather than guessing
95,CAL_$4D39,PC CNT OFFSET,$4D39,$4D49,17,17,0,8_bit_fcb,L4D39,PC CNT OFFSET,unknown,unknown,unknown,,low_unclassified,yes_if_later_used,no confident module keyword; keep listed rather than guessing
96,CAL_$4D4A,PC CNT Offset,$4D4A,$4D5A,17,17,0,8_bit_fcb,L4D4A,PC CNT Offset,unknown,unknown,unknown,,low_unclassified,yes_if_later_used,no confident module keyword; keep listed rather than guessing
97,CAL_$4D5B,% TPS RPM,$4D5B,$4D6B,17,17,0,8_bit_fcb,L4D5B,% TPS RPM,sensor_scaling,sensor scaling/input conditioning,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
98,CAL_$4D6C,PC CNT PERCENT TPS,$4D6C,$4D7B,16,16,0,8_bit_fcb,L4D6C,PC CNT PERCENT TPS,sensor_scaling,sensor scaling/input conditioning,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
99,CAL_$4D7C,FACTOR DEG C COOL,$4D7C,$4D84,9,9,0,8_bit_fcb,L4D7C,FACTOR DEG C COOL,unknown,unknown,unknown,,low_unclassified,yes_if_later_used,no confident module keyword; keep listed rather than guessing
100,CAL_$4D85,L4D81 FCB 48 ; 0.375 70 | L4D82 FCB 48 ; 0.375 80 | L4D83 F,$4D85,$4D91,13,13,0,8_bit_fcb,L4D85,L4D81 FCB 48 ; 0.375 70 | L4D82 FCB 48 ; 0.375 80 | L4D83 FCB 48 ;,egr_excluded,egr,excluded,EGR/emissions strategy excluded,medium_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
101,CAL_$4D92,L4D91 FCB 255 ; 0.996 0 | EXTRA AIR TIME DELAY FILTER COEF. | 09,$4D92,$4DC1,48,48,0,8_bit_fcb,L4D92,L4D91 FCB 255 ; 0.996 0 | EXTRA AIR TIME DELAY FILTER COEF. | 09-17-2000 Diss,fuel,fuel math/output support,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
102,CAL_$4DC2,COOLANT,MAT Deg C,$4DC2,$4DCC,11,11,0,8_bit_fcb,L4DC2,COOLANT,MAT Deg C,sensor_scaling,sensor scaling/input conditioning,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
103,CAL_$4DCD,DRP'S DEG C COOL,$4DCD,$4DDD,17,17,0,8_bit_fcb,L4DCD,DRP'S DEG C COOL,unknown,unknown,unknown,,low_unclassified,yes_if_later_used,no confident module keyword; keep listed rather than guessing
104,CAL_$4DDE,TIME BLM CELL,$4DDE,$4DE8,11,11,0,8_bit_fcb,L4DDE,TIME BLM CELL,fuel,fuel math/output support,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
