pc,routine_label,interrupt_context,channel,contract_action,effective_address,access_type,width,bitmask,mnemonic,value_source,x_base/y_base,notes,confidence
0x7883,L785A,TOC5/TIC4 interrupt,TOC5/TIC4,output mode clear/disable,0x3020,RMW,bit,0x01,"BCLR $20,X,#$01",clear 0x01,X=0x3000,"TCTL1 output compare action | CLR b0, TCTL1, OL5 DISCON FM PIN | indexed_resolved",high
0x7898,L785A,TOC5/TIC4 interrupt,TOC5/TIC4,compare read,0x301E,R,16,,"ADDD $1E,X",ADDD,X=0x3000,TOC5/TIC4 compare | TIC4/TOC5 | indexed_resolved,high
0x78B0,L785A,TOC5/TIC4 interrupt,TOC5/TIC4,compare read,0x301E,R,16,,"ADDD $1E,X",ADDD,X=0x3000,TOC5/TIC4 compare | TIC4/TOC5 | indexed_resolved,high
0x78C5,L785A,TOC5/TIC4 interrupt,TOC5/TIC4,output mode setup,0x3020,RMW,bit,0x01,"BSET $20,X,#$01",set 0x01,X=0x3000,TCTL1 output compare action | SET b0 | indexed_resolved,high
0x78D6,L785A,TOC5/TIC4 interrupt,TOC5/TIC4,compare write,0x301E,W,16,,"STD $1E,X",D,X=0x3000,TOC5/TIC4 compare | TIC4/TOC5	VALUE | indexed_resolved,high
0x78DE,L785A,TOC4 interrupt,TOC4,flag clear,0x3023,W,8,,"STAA $23,X",A=0x10,X=0x3000,"TFLG1 timer interrupt flags / write-one-clear | TFLG1, | indexed_resolved",high
0x78E4,L785A,TOC4 interrupt,TOC4,interrupt disable,0x3022,RMW,bit,0x10,"BCLR $22,X,#$10",clear 0x10,X=0x3000,"TMSK1 timer interrupt mask | SET b4, TOC4 INT ENABLE | indexed_resolved",high
0x78E7,L785A,TOC4 interrupt,TOC4,output mode clear/disable,0x3020,RMW,bit,0x04,"BCLR $20,X,#$04",clear 0x04,X=0x3000,"TCTL1 output compare action | SET b2, TCTL1, OL4 TGGLE OC LINE | indexed_resolved",high
0x78FC,L785A,TOC4 interrupt,TOC4,compare read,0x301C,R,16,,"ADDD $1C,X",ADDD,X=0x3000,TOC4 compare | TOC4 | indexed_resolved,high
0x7914,L785A,TOC4 interrupt,TOC4,compare read,0x301C,R,16,,"ADDD $1C,X",ADDD,X=0x3000,TOC4 compare | TOC4 | indexed_resolved,high
0x7929,L785A,TOC4 interrupt,TOC4,output mode setup,0x3020,RMW,bit,0x04,"BSET $20,X,#$04",set 0x04,X=0x3000,"TCTL1 output compare action | TCTL1, OL4 TOGGLE TOC4 OUT LINE | indexed_resolved",high
0x793A,L785A,TOC4 interrupt,TOC4,compare write,0x301C,W,16,,"STD $1C,X",D,X=0x3000,TOC4 compare | TOC4 | indexed_resolved,high
0x7948,L785A,TOC3/6.25ms major-loop interrupt,global/support,flag clear,0x3023,W,8,,STAA L3023,A=0x20,,TFLG1 timer interrupt flags / write-one-clear,high
0xCC56,LCC4B,mainline/unknown,global/support,interrupt enable,0x3022,RMW,bit,0xA0,"BSET $22,X,#$A0",set 0xA0,X=0x3000,TMSK1 timer interrupt mask | TMSK1 | indexed_resolved,high
0xCE7E,LCE10,TOC1 knock-window interrupt,global/support,flag clear,0x3023,W,8,,STAA L3023,A=0x80,,TFLG1 timer interrupt flags / write-one-clear | TMR FLG 1 REG,high
0xFC16,LFC11,XIRQ/vector handler,global/support,flag clear,0x3023,W,8,,STAA L3023,A=0x01,,TFLG1 timer interrupt flags / write-one-clear,high
0xFC31,LFC2F,TIC/RTI vector handler,global/support,interrupt mask init,0x3022,W,8,,STAA L3022,A=0xA0,,TMSK1 timer interrupt mask | TMSK1,high
0xFC36,LFC2F,TIC/RTI vector handler,global/support,flag clear,0x3023,W,8,,STAA L3023,A=0x5F,,TFLG1 timer interrupt flags / write-one-clear | TFLG1,high
