target_resolved,target_symbol,address_class,write_count,write_pcs,write_classes,widths,bitmasks,indexed_write_count,unresolved_indexed_write_count,routine_labels,dispatcher_contexts,candidate_roles,highest_confidence,hardware_reachability_status,diagnostic_only_status,preserved_driver_relevance,keep_drop_replace_candidate,review_priority,notes
$0019,L0019,internal_ram:16,16,7368;736B;7871;7D5A;7D5D;AC16;AC3C;CF0A;CF0F;E041;E081;E08B;E0DE;E117;EE25;EE57,bit_mutation:16,bit:16,#$04;#$02;#$40;#$20;#$10;#$08;#$80,0,0,L7368;L786C;L7D4B;LAC16;LAC31;LCF0A;LCF0F;LE041;LE081;LE084;LE0DE;LE117;LEE02;LEE2A,,mode_flag_or_safety_gate:16,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$001A,L001A,internal_ram:11,11,71FA;D16E;D180;E28D;E2C5;EA60;EA70;EA9B;EAA9;F25F;F271,bit_mutation:11,bit:11,#$20;#$02;#$04;#$10;#$08,0,0,L71EC;LD15C;LD176;LE286;LE2C5;LEA40;LEA65;LEA7C;LEAA0;LF25F;LF267,,mode_flag_or_safety_gate:11,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$001B,L001B,internal_ram:8,8,EACE;EADC;EB01;EB0F;EB37;EB45;EB6B;EB79,bit_mutation:8,bit:8,#$40;#$20;#$04;#$02,0,0,LEAB1;LEAD3;LEAE4;LEB06;LEB19;LEB3C;LEB4D;LEB70,,mode_flag_or_safety_gate:8,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$001C,L001C,internal_ram:12,12,EBA0;EBB8;EBFB;EC25;EC5E;EC71;EE8C;EEB4;EED5;EF23;EF4B;EF80,bit_mutation:12,bit:12,#$08;#$04;#$02;#$20;#$10;#$01,0,0,LEB81;LEBA5;LEBE3;LEC00;LEC45;LEC63;LEE61;LEE91;LEEBC;LEEDA;LEF2B;LEF5A,,mode_flag_or_safety_gate:12,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$001D,L001D,internal_ram:12,12,ECB6;ECC4;ECE9;ECF7;ED1F;ED33;ED6A;ED78;EDAB;EDB9;EDEC;EDFA,bit_mutation:12,bit:12,#$80;#$20;#$08;#$04;#$02;#$01,0,0,LECA5;LECBB;LECCC;LECEE;LECFF;LED24;LED55;LED6F;LED96;LEDB0;LEDD7;LEDF1,,mode_flag_or_safety_gate:12,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$001E,L001E,internal_ram:10,10,7365;EFAB;F027;F052;F0A5;F0D0;F129;F151;F1D9;F393,bit_mutation:9|store:1,bit:9|8:1,#$04;#$40;#$20;#$10,1,0,L7356;LEF88;LEFE5;LF02F;LF059;LF0AD;LF0D7;LF131;LF1D9;LF387,,mode_flag_or_safety_gate:9|ram_state_or_intermediate:1,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$001F,L001F,internal_ram:4,4,727C;E7EF;F364;F3A1,store:4,8:4,,0,0,L726B;LE7C7;LF33A;LF387,,ram_state_or_intermediate:4,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0020,L0020,internal_ram:4,4,7288;E82F;F366;F3A3,store:4,8:4,,0,0,L727E;LE808;LF33A;LF387,,ram_state_or_intermediate:4,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0021,L0021,internal_ram:3,3,7294;E868;F3A5,store:3,8:3,,0,0,L728A;LE847;LF387,,ram_state_or_intermediate:3,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0022,L0022,internal_ram:3,3,72A0;E8ED;F3A7,store:3,8:3,,0,0,L7296;LE8C8;LF387,,ram_state_or_intermediate:3,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0023,L0023,internal_ram:3,3,72AC;E92B;F3A9,store:3,8:3,,0,0,L72A2;LE905;LF387,,ram_state_or_intermediate:3,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0024,L0024,internal_ram:3,3,72B8;E9C7;F3AB,store:3,8:3,,0,0,L72AE;LE99E;LF387,,ram_state_or_intermediate:3,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0025,L0025,internal_ram:2,2,72C4;EE23,store:2,8:2,,0,0,L72BA;LEE02,,ram_state_or_intermediate:2,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0026,L0026,internal_ram:2,2,72D0;F3AD,store:2,8:2,,0,0,L72C6;LF387,,ram_state_or_intermediate:2,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0027,L0027,internal_ram:2,2,72DC;F3AF,store:2,8:2,,0,0,L72D2;LF387,,ram_state_or_intermediate:2,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0028,L0028,internal_ram:3,3,72E8;EE8A;F3B1,store:3,8:3,,0,0,L72DE;LEE61;LF387,,ram_state_or_intermediate:3,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0029,L0029,internal_ram:3,3,72F4;EBF9;F3B3,store:3,8:3,,0,0,L72EA;LEBE3;LF387,,ram_state_or_intermediate:3,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$002A,L002A,internal_ram:3,3,7300;EC5C;F3B5,store:3,8:3,,0,0,L72F6;LEC45;LF387,,ram_state_or_intermediate:3,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$002B,L002B,internal_ram:3,3,730C;ED68;F3B7,store:3,8:3,,0,0,L7302;LED55;LF387,,ram_state_or_intermediate:3,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$002C,L002C,internal_ram:3,3,7318;EDA9;F3B9,store:3,8:3,,0,0,L730E;LED96;LF387,,ram_state_or_intermediate:3,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$002D,L002D,internal_ram:3,3,7324;EDEA;F3BB,store:3,8:3,,0,0,L731A;LEDD7;LF387,,ram_state_or_intermediate:3,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$002E,L002E,internal_ram:2,2,7330;EFA9,store:2,8:2,,0,0,L7326;LEF88,,ram_state_or_intermediate:2,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$002F,L002F,internal_ram:3,3,733C;F050;F3BD,store:3,8:3,,0,0,L7332;LF02F;LF387,,ram_state_or_intermediate:3,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0030,L0030,internal_ram:3,3,7348;F0CE;F3BF,store:3,8:3,,0,0,L733E;LF0AD;LF387,,ram_state_or_intermediate:3,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0031,L0031,internal_ram:4,4,7354;7363;F14F;F3C1,store:4,8:4,,0,0,L734A;L7356;LF131;LF387,,ram_state_or_intermediate:4,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0032,L0032,internal_ram:3,3,7381;F19F;F3CF,store:3,8:3,,0,0,L7378;LF168;LF387,,ram_state_or_intermediate:3,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0033,L0033,internal_ram:3,3,7389;F1BA;F3D1,store:3,8:3,,0,0,L7383;LF1A3;LF387,,ram_state_or_intermediate:3,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0034,L0034,internal_ram:3,3,7391;F1D5;F3D3,store:3,8:3,,0,0,L738B;LF1BE;LF387,,ram_state_or_intermediate:3,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0036,L0036,internal_ram:18,18,921F;949D;954F;9571;95B9;95E2;96AA;96BF;96DE;96F5;96FB;9A00;9A05;9A58;9A5E;9A74;A3FD;A436,bit_mutation:18,bit:18,#$40;#$BD;#$02;#$01;#$20;#$10;#$80;#$04;#$08;#$1C;#$0C,0,0,L921B;L946E;L954F;L9571;L95B3;L95E2;L969E;L96BF;L96D9;L96F0;L99FA;L9A05;L9A58;L9A5E;L9A6D;LA3FA;LA41A,,mode_flag_or_safety_gate:18,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$0037,L0037,internal_ram:16,16,920E;9218;9239;9294;94A0;9865;9C55;9C5F;9CED;9CF2;9D8A;9DD6;9DE3;9F58;A456;A45F,bit_mutation:16,bit:16,#$18;#$04;#$9B;#$08;#$40;#$80;#$01;#$02;#$10,0,0,L920E;L9226;L9294;L946E;L9855;L9C43;L9C5A;L9CE5;L9CF2;L9D8A;L9DCF;L9DDB;L9F53;LA44B;LA45C,,mode_flag_or_safety_gate:16,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$0038,L0038,internal_ram:27,27,93D7;94A3;94A6;9698;969B;9806;980B;9EE4;A0CE;A0D3;A1C3;A1C8;A1D1;A1D6;A1E3;A1E8;A1F1;A1F6;A252;A257;A260;A265;A272;A277;A280;A285;A446,bit_mutation:27,bit:27,#$40;#$0F;#$70;#$10;#$20;#$04;#$08;#$01;#$02,0,0,L93D7;L946E;L9698;L969B;L97F3;L980B;L9ECA;LA0CE;LA0D3;LA1BB;LA1C8;LA1CD;LA1D6;LA1DB;LA1E8;LA1ED;LA1F6;LA249;LA257;LA25C;...+6,,mode_flag_or_safety_gate:27,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$0039,L0039,internal_ram:8,8,94A9;99EA;99EF;9DA5;9E85;9F13;9F9C;A395,bit_mutation:8,bit:8,#$C7;#$80;#$40;#$01;#$02;#$04,0,0,L946E;L99D7;L99EF;L9D8D;L9E7D;L9F0D;L9F96;LA395,,mode_flag_or_safety_gate:8,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$003A,L003A,internal_ram:9,9,71CD;71E9;7268;7971;7985;7A7D;CC50;D17D;F26E,bit_mutation:9,bit:9,#$04;#$02;#$40;#$08;#$20;#$10;#$01,0,0,L71C3;L71E5;L7262;L7971;L797A;L7A79;LCC4B;LD176;LF267,near_major_loop_dispatcher_7A4F,mode_flag_or_safety_gate:9,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_dispatch_context,high,near dispatcher context; require dispatcher reverse-map join
$003B,L003B,internal_ram:15,15,79D6;F602;F64A;F68A;F712;F720;F777;F79F;F81E;F8CF;F8D4;F8F6;F9D6;F9FC;FA01,bit_mutation:14|store:1,bit:14|8:1,#$40;#$20;#$08;#$10;#$43;#$80;#$03;#$02;#$01,0,0,L79D6;LF5E8;LF64A;LF64E;LF702;LF715;LF777;LF793;LF807;LF8C9;LF8D4;LF8F4;LF9D6;LF9F1;LFA01,,mode_flag_or_safety_gate:14|ram_state_or_intermediate:1,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$003C,L003C,internal_ram:9,9,DCEB;DCF6;DD39;E215;E21C;E223;E232;E258;E270,bit_mutation:5|store:3|read_modify_write:1,bit:5|8:4,#$20;#$40;#$02,0,0,LDCEA;LDCF5;LDD32;LE211;LE21C;LE228;LE258;LE25B,,mode_flag_or_safety_gate:5|ram_state_or_intermediate:4,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$003D,L003D,internal_ram:18,18,8153;8164;81FA;8226;82D4;82E7;84AE;84B9;8AA2;8AB6;8B5A;8C12;8C32;8C8E;8D73;8DE6;8EA6;AE81,bit_mutation:18,bit:18,#$C0;#$40;#$80;#$10;#$01;#$20;#$21;#$04;#$0C;#$08;#$02,0,0,L8153;L8164;L81F7;L821D;L82D1;L82E7;L84A9;L84B6;L8A92;L8AAA;L8B57;L8C0D;L8C32;L8C8E;L8D73;L8DE6;L8EA6;LAE81,,mode_flag_or_safety_gate:18,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$003E,L003E,internal_ram:14,14,7D9D;8113;819C;840F;8469;86F0;91B8;91BD;E3E3;E4FF;E506;E519;E559;E55E,bit_mutation:13|store:1,bit:13|8:1,#$08;#$01;#$10;#$04;#$A0;#$82;#$A2;#$02,0,0,L7D90;L8109;L817F;L840F;L8469;L86F0;L91B8;L91BD;LE3DD;LE4FC;LE519;LE548;LE55E,,mode_flag_or_safety_gate:13|ram_state_or_intermediate:1,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$003F,L003F,internal_ram:12,12,77B8;77C3;83EA;84C6;84E6;84EF;87E3;8A13;8AFF;8B4E;8C35;E3B8,bit_mutation:10|store:2,bit:10|8:2,#$10;#$80;#$40;#$20,0,0,L77B8;L77C3;L83D4;L84BC;L84E6;L84EF;L87BE;L8A0B;L8AFA;L8B4E;L8C32;LE3B8,,mode_flag_or_safety_gate:10|ram_state_or_intermediate:2,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$0041,L0041,internal_ram:16,16,811F;8128;917A;9182;9185;919F;CAA8;CAAD;CBB5;CC31;CD50;CD61;D1D4;D1E2;D3A4;D3AC,bit_mutation:16,bit:16,#$08;#$10;#$20;#$02;#$01;#$80,0,0,L811B;L8124;L9167;L917F;L9185;L919F;LCA9F;LCAAD;LCBB5;LCC31;LCD40;LCD58;LD1BB;LD1D9;LD3A4,,mode_flag_or_safety_gate:16,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$0042,L0042,internal_ram:5,5,F3EB;F799;F93F;F948;F9ED,bit_mutation:3|read_modify_write:1|store:1,bit:3|8:2,#$03;#$01;#$02,1,0,LF387;LF793;LF93B;LF944;LF9EB,,mode_flag_or_safety_gate:3|ram_state_or_intermediate:2,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$0043,L0043,internal_ram:13,13,73B6;79AF;79E1;7A2D;86E1;C9AA;DC9A;DCAA;DCBA;DCCA;DCDB;DCF0;DD1E,bit_mutation:11|store:2,bit:11|8:2,#$80;#$10;#$1C;#$08;#$04;#$02,0,0,L73AA;L79A4;L79D6;L7A19;L86DA;LC9AA;LDC93;LDCA0;LDCB4;LDCC2;LDCD3;LDCEA;LDD14,,mode_flag_or_safety_gate:11|ram_state_or_intermediate:2,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$0044,L0044,internal_ram:17,17,71B4;7A2A;7D9A;8159;8172;861D;862F;A544;A5C9;ABF9;AC0A;AC13;AC25;AC4C;E0AC;F357;F77D,bit_mutation:17,bit:17,#$01;#$04;#$08;#$02;#$10;#$40;#$80;#$20,0,0,L7182;L7A19;L7D90;L8153;L8172;L8612;L862F;LA540;LA5BE;LABA2;LABFE;LAC13;LAC25;LAC41;LE0AC;LF33A;LF777,,mode_flag_or_safety_gate:17,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$0045,L0045,internal_ram:7,7,F731;F736;F74F;F754;F762;F767;F79C,bit_mutation:7,bit:7,#$10;#$80;#$40;#$D0,0,0,LF715;LF736;LF748;LF754;LF757;LF767;LF793,,mode_flag_or_safety_gate:7,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$0046,L0046,internal_ram:17,17,7239;78A2;7906;7D97;80E2;8109;821D;824D;84B1;84B6;87A1;8D92;CD21;CD26;CD4D;CD5B;E4FC,bit_mutation:17,bit:17,#$40;#$01;#$80;#$10;#$08;#$02;#$04,0,0,L720C;L7898;L78FC;L7D90;L80E2;L8109;L821D;L824D;L84A9;L84B6;L87A0;L8D92;LCD21;LCD26;LCD40;LCD58;LE4FC,,mode_flag_or_safety_gate:17,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_review_safety_or_mode,medium,mode/safety bit candidate; require read/consumer edge proof
$0047,L0047,internal_ram:1,1,7DEF,store:1,8:1,,0,0,L7DEF,,ram_state_or_intermediate:1,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
$0049,L0049,internal_ram:1,1,743C,store:1,8:1,,0,0,L741D,,ram_state_or_intermediate:1,medium,not_established_write_side_only,not_proven_write_side_only,unknown_pending_read_edges,unknown_pending_read_consumer_edges,medium,write-side dossier only; next pass must add reads/consumers
